('114', '8.230944415728846', 'Amélie', '2001', 'Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz')
('115', '8.230784379391466', 'The Sting', '1973', 'George Roy Hill (dir.), Paul Newman, Robert Redford')
('116', '8.229766396105694', 'Metropolis', '1927', 'Fritz Lang (dir.), Brigitte Helm, Alfred Abel')
('117', '8.22534740091221', 'Per qualche dollaro in più', '1965', 'Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef')
('118', '8.225157558167481', 'The Apartment', '1960', 'Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine')
('119', '8.220137379283031', 'Double Indemnity', '1944', 'Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck')
('120', '8.213891483309203', 'To Kill a Mockingbird', '1962', 'Robert Mulligan (dir.), Gregory Peck, John Megna')
('121', '8.212407846992614', 'Up', '2009', 'Pete Docter (dir.), Edward Asner, Jordan Nagai')
('122', '8.209792064429553', 'Indiana Jones and the Last Crusade', '1989', 'Steven Spielberg (dir.), Harrison Ford, Sean Connery')
('123', '8.201690537532428', 'Heat', '1995', 'Michael Mann (dir.), Al Pacino, Robert De Niro')
('124', '8.200075352281685', 'LA Confidential', '1997', 'Curtis Hanson (dir.), Kevin Spacey, Russell Crowe')
('125', '8.193446099467323', 'Die Hard', '1988', 'John McTiernan (dir.), Bruce Willis, Alan Rickman')
('126', '8.192802042636103', 'Green Book', '2018', 'Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali')
('127', '8.189494331575348', 'Monty Python and the Holy Grail', '1975', 'Terry Gilliam (dir.), Graham Chapman, John Cleese')
('128', '8.188631768539478', 'Batman Begins', '2005', 'Christopher Nolan (dir.), Christian Bale, Michael Caine')
('129', '8.188504723798081', 'Yôjinbô', '1961', 'Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno')
('130', '8.187821442148714', 'Rashômon', '1950', 'Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô')
('131', '8.185569187362352', 'Der Untergang', '2004', 'Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara')
('132', '8.183389822970033', 'Bacheha-Ye aseman', '1997', 'Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian')
('133', '8.177640576758447', 'Unforgiven', '1992', 'Clint Eastwood (dir.), Clint Eastwood, Gene Hackman')
('134', '8.1759461274734', 'Ran', '1985', 'Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao')
('135', '8.175692121636947', 'Some Like It Hot', '1959', 'Billy Wilder (dir.), Marilyn Monroe, Tony Curtis')
('136', '8.16534627500646', 'Hauru no ugoku shiro', '2004', 'Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura')
('137', '8.160866765250669', 'All About Eve', '1950', 'Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter')
('138', '8.159745146826602', 'Casino', '1995', 'Martin Scorsese (dir.), Robert De Niro, Sharon Stone')
